Compared Result of  two versions
Number of New Class: 19
Number of Changed Class: 0
Number of Deleted Class: 0
new Added class 0 : org.antlr.v4.runtime.BaseRecognizer: 
new Added class 1 : org.antlr.v4.codegen.src.Choice: 
new Added class 2 : org.antlr.v4.runtime.misc.LABitSet: 
new Added class 3 : org.antlr.v4.runtime.Lexer: 
new Added class 4 : org.antlr.v4.codegen.LexerFactory: 
new Added class 5 : org.antlr.v4.codegen.src.LL1Choice: 
new Added class 6 : org.antlr.v4.codegen.src.LL1Loop: 
new Added class 7 : org.antlr.v4.codegen.src.LL1OptionalBlockSingleAlt: 
new Added class 8 : org.antlr.v4.codegen.src.LL1PlusBlock: 
new Added class 9 : org.antlr.v4.codegen.src.LL1PlusBlockSingleAlt: 
new Added class 10 : org.antlr.v4.codegen.src.LL1StarBlock: 
new Added class 11 : org.antlr.v4.codegen.src.LL1StarBlockSingleAlt: 
new Added class 12 : org.antlr.v4.codegen.src.OptionalBlock: 
new Added class 13 : org.antlr.v4.codegen.OutputModelFactory: 
new Added class 14 : org.antlr.v4.runtime.pda.PDA: 
new Added class 15 : org.antlr.v4.codegen.PDABytecodeTriggers: 
new Added class 16 : org.antlr.v4.codegen.SourceGenTriggers: 
new Added class 17 : org.antlr.v4.codegen.src.Sync: 
new Added class 18 : org.antlr.v4.codegen.src.ThrowRecognitionException: 
testing relationship 
class 0  vs  class 2£º  r0:0  r1:0  r2:0  r3:2  r4:0  r5:2  r6:0  r7:0  r8:0  r9:0  r10:0  r11:13  r12:0  r13:4  r14:8  r15:0  r16:5  r17:0  
class 9  vs  class 6£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 9  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:3  r15:0  r16:0  r17:0  
class 10  vs  class 6£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 10  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:5  r15:0  r16:0  r17:0  
class 11  vs  class 6£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 11  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:2  r15:0  r16:0  r17:0  
class 12  vs  class 1£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 12  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:1  r15:0  r16:0  r17:0  
class 13  vs  class 1£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:1  r6:0  r7:0  r8:0  r9:0  r10:0  r11:8  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 16  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:2  r9:0  r10:12  r11:0  r12:0  r13:0  r14:1  r15:0  r16:0  r17:0  
class 17  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:1  r15:0  r16:2  r17:0  
class 18  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:2  r15:0  r16:2  r17:0  
record  0 :  0   1 :  8   2 :  0   3 :  2   4 :  0   5 :  3   6 :  0   7 :  0   8 :  3   9 :  0   10 :  12   11 :  21   12 :  0   13 :  4   14 :  41   15 :  0   16 :  10   17 :  0   
